web-scraper-order,web-scraper-start-url,product_name,price,discount,customer-review
"1749830011-1","https://www.ruparupa.com/c/furniture/kursi/kursi-kantor.html?itm_source=megamenu-kursi-kantor&itm_campaign=third-level&itm_device=desktop","Selma Cosmo Kursi Kantor Sandaran Rendah - Hitam","Rp559.000","49%","5 |"
"1749830011-2","https://www.ruparupa.com/c/furniture/kursi/kursi-kantor.html?itm_source=megamenu-kursi-kantor&itm_campaign=third-level&itm_device=desktop","Selma Morell Kursi Kantor Sandaran Rendah - Abu-abu","Rp459.000","52%","4.7 |"
"1749830011-3","https://www.ruparupa.com/c/furniture/kursi/kursi-kantor.html?itm_source=megamenu-kursi-kantor&itm_campaign=third-level&itm_device=desktop","Selma Zuan Kursi Kantor Sandaran Rendah - Hitam","Rp699.000","56%","5 |"
"1749830011-4","https://www.ruparupa.com/c/furniture/kursi/kursi-kantor.html?itm_source=megamenu-kursi-kantor&itm_campaign=third-level&itm_device=desktop","Selma Camaro Kursi Kantor Sandaran Rendah - Hitam","Rp859.000","42%","5 |"
"1749830011-5","https://www.ruparupa.com/c/furniture/kursi/kursi-kantor.html?itm_source=megamenu-kursi-kantor&itm_campaign=third-level&itm_device=desktop","Selma Macaroni Kursi Kantor Sandaran Rendah - Putih","Rp449.000","43%","4.9 |"
"1749830011-6","https://www.ruparupa.com/c/furniture/kursi/kursi-kantor.html?itm_source=megamenu-kursi-kantor&itm_campaign=third-level&itm_device=desktop","Selma Moris Kursi Kantor Sandaran Rendah - Abu-abu/hitam","Rp479.000","40%","4.9 |"
"1749830011-7","https://www.ruparupa.com/c/furniture/kursi/kursi-kantor.html?itm_source=megamenu-kursi-kantor&itm_campaign=third-level&itm_device=desktop","Selma Malden Kursi Kantor Sandaran Tinggi - Hitam","Rp999.000","37%","5 |"
"1749830011-8","https://www.ruparupa.com/c/furniture/kursi/kursi-kantor.html?itm_source=megamenu-kursi-kantor&itm_campaign=third-level&itm_device=desktop","Selma Macaroni Kursi Kantor Sandaran Rendah - Hitam","Rp449.000","43%","5 |"
"1749830011-9","https://www.ruparupa.com/c/furniture/kursi/kursi-kantor.html?itm_source=megamenu-kursi-kantor&itm_campaign=third-level&itm_device=desktop","Selma Yale Kursi Kantor Sandaran Rendah - Hitam","Rp429.000","28%","5 |"
"1749830011-10","https://www.ruparupa.com/c/furniture/kursi/kursi-kantor.html?itm_source=megamenu-kursi-kantor&itm_campaign=third-level&itm_device=desktop","Selma Lyon Kursi Kantor Sandaran Rendah - Abu-abu","Rp299.000","25%","4.7 |"
"1749830011-11","https://www.ruparupa.com/c/furniture/kursi/kursi-kantor.html?itm_source=megamenu-kursi-kantor&itm_campaign=third-level&itm_device=desktop","Selma Cleo Kursi Kantor - Hitam","Rp1.399.000","53%","5 |"
"1749830011-12","https://www.ruparupa.com/c/furniture/kursi/kursi-kantor.html?itm_source=megamenu-kursi-kantor&itm_campaign=third-level&itm_device=desktop","Selma Lyon Kursi Kantor Sandaran Rendah - Biru","Rp299.000","25%","5 |"
"1749830011-13","https://www.ruparupa.com/c/furniture/kursi/kursi-kantor.html?itm_source=megamenu-kursi-kantor&itm_campaign=third-level&itm_device=desktop","Selma Aline Kursi Kantor Sandaran Sedang - Abu-abu","Rp999.000","33%","5 |"
"1749830011-14","https://www.ruparupa.com/c/furniture/kursi/kursi-kantor.html?itm_source=megamenu-kursi-kantor&itm_campaign=third-level&itm_device=desktop","Selma Alden Kursi Kantor - Abu-abu Muda","Rp649.000","45%","5 |"
"1749830011-15","https://www.ruparupa.com/c/furniture/kursi/kursi-kantor.html?itm_source=megamenu-kursi-kantor&itm_campaign=third-level&itm_device=desktop","Selma Torreto Kursi Kantor Sandaran Tinggi - Hitam","Rp999.000","33%","4.8 |"
"1749830011-16","https://www.ruparupa.com/c/furniture/kursi/kursi-kantor.html?itm_source=megamenu-kursi-kantor&itm_campaign=third-level&itm_device=desktop","Selma Cyrus Kursi Kantor Sandaran Rendah - Hitam","Rp749.000","55%","4.8 |"
"1749830011-17","https://www.ruparupa.com/c/furniture/kursi/kursi-kantor.html?itm_source=megamenu-kursi-kantor&itm_campaign=third-level&itm_device=desktop","Selma Alden Kursi Kantor - Hijau","Rp649.000","45%","5 |"
"1749830011-18","https://www.ruparupa.com/c/furniture/kursi/kursi-kantor.html?itm_source=megamenu-kursi-kantor&itm_campaign=third-level&itm_device=desktop","Selma Cottie Kursi Kantor Sandaran Rendah - Hitam","Rp399.000","50%","5 |"
"1749830011-19","https://www.ruparupa.com/c/furniture/kursi/kursi-kantor.html?itm_source=megamenu-kursi-kantor&itm_campaign=third-level&itm_device=desktop","Selma York Kursi Kantor Sandaran Rendah - Hitam","Rp469.000","28%","5 |"
"1749830011-20","https://www.ruparupa.com/c/furniture/kursi/kursi-kantor.html?itm_source=megamenu-kursi-kantor&itm_campaign=third-level&itm_device=desktop","Selma Macaroni Kursi Kantor Sandaran Rendah - Hijau Muda","Rp459.000","42%","5 |"
"1749830011-21","https://www.ruparupa.com/c/furniture/kursi/kursi-kantor.html?itm_source=megamenu-kursi-kantor&itm_campaign=third-level&itm_device=desktop","Informa Zidan Kursi Kantor Sandaran Rendah - Hitam","Rp429.000","28%","4.9 |"
